num_of_files,total_lines,mod_lines,label,insertions,deletions
2,136,75,non-bug,17,9
2,136,75,non-bug,17,9
2,168,35,non-bug,16,4
2,9609,34,non-bug,9,6
2,0,10,non-bug,0,0
2,827,30,non-bug,4,2
2,827,30,non-bug,4,2
1,57,6,non-bug,4,2
1,57,6,non-bug,4,2
2,9574,34,non-bug,9,6
6,240,713,non-bug,376,67
2,89,28,non-bug,1,1
3,291,170,non-bug,53,97
3,89,186,bug,111,2
1,0,3,non-bug,0,0
2,101,49,non-bug,21,5
2,82,60,non-bug,31,29
6,240,713,non-bug,376,67
2,82,60,non-bug,31,29
1,103,5,non-bug,4,1
1,103,5,non-bug,4,1
4,134,297,bug,114,8
3,372,320,non-bug,59,36
2,335,125,non-bug,20,7
5,499,273,non-bug,106,62
2,476,44,non-bug,0,0
11,472,183,non-bug,143,35
2,478,44,non-bug,0,0
2,462,9,non-bug,0,0
2,462,9,non-bug,0,0
2,125,154,non-bug,49,52
2,125,154,non-bug,49,52
2,372,265,non-bug,59,36
2,197,77,non-bug,26,2
2,197,77,non-bug,26,2
2,74,57,non-bug,4,13
2,74,57,non-bug,4,13
1,0,63,non-bug,0,0
3,191,93,non-bug,32,30
3,191,93,non-bug,32,30
2,445,172,non-bug,73,29
11,460,183,non-bug,143,35
2,445,172,non-bug,73,29
5,499,273,non-bug,106,62
2,231,31,non-bug,1,1
2,179,298,non-bug,55,71
1,256,60,bug,20,40
2,91,110,non-bug,69,41
1,762,3,non-bug,2,1
1,762,3,non-bug,2,1
1,0,8,non-bug,4,4
1,0,8,non-bug,4,4
2,175,161,non-bug,0,0
2,175,89,non-bug,0,0
1,175,14,non-bug,0,0
1,761,16,non-bug,13,3
1,761,16,non-bug,13,3
2,179,298,non-bug,55,71
2,157,38,non-bug,7,31
2,157,38,non-bug,7,31
3,135,1153,non-bug,668,323
1,0,40,non-bug,0,0
1,0,40,non-bug,0,0
2,315,40,non-bug,1,1
2,315,40,non-bug,1,1
2,231,68,non-bug,1,1
1,117,7,non-bug,3,4
1,117,7,non-bug,3,4
2,231,68,non-bug,1,1
1,110,5,non-bug,2,3
1,110,5,non-bug,2,3
1,173,3,non-bug,3,0
1,231,7,non-bug,4,3
1,231,7,non-bug,4,3
1,0,76,non-bug,0,0
1,0,76,non-bug,0,0
1,0,8,non-bug,0,0
3,625,75,non-bug,24,15
3,625,75,non-bug,24,15
2,81,82,non-bug,1,1
2,81,82,non-bug,1,1
3,125,106,non-bug,35,18
2,185,24,non-bug,6,0
1,185,6,non-bug,6,0
2,340,29,non-bug,2,0
2,340,29,non-bug,2,0
1,9309,2,non-bug,1,1
1,9309,2,non-bug,1,1
1,9309,2,non-bug,1,1
1,9309,2,non-bug,1,1
4,0,303,non-bug,0,0
4,0,303,non-bug,0,0
1,0,3,non-bug,3,0
2,232,4,non-bug,2,2
2,232,4,non-bug,2,2
1,0,2,non-bug,0,0
2,97,156,non-bug,43,9
2,97,156,non-bug,43,9
7,178,297,bug,214,79
2,94,8,bug,7,1
2,382,45,non-bug,22,6
2,0,4,non-bug,0,0
2,382,45,non-bug,22,6
1,155,2,non-bug,1,1
2,0,4,non-bug,0,0
1,623,2,non-bug,1,1
