num_of_files,total_lines,mod_lines,label,insertions,deletions
6,254,1526,None,760,0
7,122,612,non-bug,157,213
3,171,36,non-bug,5,2
8,226,839,None,530,36
6,102,201,bug,2,2
21,67,58,non-bug,11,7
1,0,11,None,11,0
1,509,10,non-bug,5,5
3,78,9,non-bug,7,2
8,293,161,non-bug,6,4
2,500,111,non-bug,20,3
4,177,180,non-bug,65,23
4,172,461,None,194,1
5,77,83,non-bug,39,10
1,0,1,None,1,0
1,0,12,None,12,0
2,3098,4,None,2,2
2,441,6,non-bug,0,0
8,181,796,non-bug,364,242
3,64,12,None,6,6
5,117,44,non-bug,4,4
2,117,102,non-bug,16,1
2,134,47,None,3,0
3,108,171,None,18,1
1,156,2,non-bug,1,1
2,106,99,None,14,0
1,0,15,None,15,0
3,15808,33,non-bug,6,3
2,0,20,None,20,0
10,122,168,non-bug,36,14
3,119,6,non-bug,3,3
12,80,623,non-bug,590,7
7,33,1339,None,1331,8
7,0,466,None,0,0
1,0,4,None,0,0
3,2982,12,None,6,6
1,52,1,None,0,1
8,372,58,non-bug,0,0
8,372,58,None,0,0
3,134,307,None,160,0
3,134,307,None,160,0
1,0,22,None,22,0
2,12903,174,non-bug,76,98
2,441,27,None,0,0
9,96,887,None,331,0
6,131,523,non-bug,157,0
15,107,1394,None,567,6
2,316,25,non-bug,11,14
3,319,610,None,401,0
3,262,732,None,291,0
4,154,57,non-bug,22,7
1,3918,4,non-bug,2,2
1,1882,2,None,1,1
1,57,4,None,2,2
1,12873,4,None,2,2
4,2941,24,non-bug,12,12
6,139,140,non-bug,30,16
2,0,61,None,47,14
3,150,74,None,20,5
8,700,50,None,6,6
36,146,1773,bug,245,401
33,192,1592,None,215,320
50,151,3166,non-bug,579,1005
3,117,63,None,24,3
4,73,24,non-bug,1,5
4,74,17,None,1,16
4,150,89,non-bug,30,21
1,12873,103,None,76,27
1,12824,78,None,39,39
9,116,295,non-bug,119,110
1,106,6,non-bug,3,3
20,42,1598,non-bug,485,648
2,0,57,bug,53,4
22,193,1267,non-bug,189,272
60,151,2744,non-bug,301,351
29,383,1184,non-bug,233,288
6,116,77,None,7,4
4,107,7,non-bug,1,0
13,30,150,None,10,46
91,748,4100,non-bug,139,246
11,106,355,None,136,44
1,0,2,non-bug,1,1
36,123,2078,non-bug,295,268
6,318,16,None,8,8
4,139,32,None,2,2
15,285,535,None,53,118
80,108,6288,None,646,401
28,115,2166,non-bug,498,317
5,29,64,None,39,25
26,379,2218,non-bug,318,594
2,107,66,non-bug,1,1
24,183,1668,non-bug,176,245
32,109,2248,non-bug,218,435
31,204,2540,None,191,222
1,137,1,non-bug,0,1
